제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.03.22.|2019.03.26.&section=kin&page=1
대학교 자퇴 후 재수,"안녕하세요. 이번년도에 지방전문대 간호학과로 입학을 한 신입생입니다. 원래 간호학과에 오고싶지 않았는데 제가 가고싶은 학과에 가기에는 성적이 되지 않아 고3 원서접수때 어쩔 수 없이 대학교를 낮추고 과를 보건 계열로 다 바꿔서 간호학과에 오게 되었습니다. 전공 수업 듣는건 괜찮지만 원치 않는 교양까지 시간표에 다 있어 어쩔 수 없이 듣고 있고 기숙사 생활을 하고 있는데 너무 자퇴가 하고 싶어요. 오직 취업목적으로 간 거라 간호사라는 직업을 잘 해낼 자신이 없고 심지어 학교가 그렇게 취업률이 높지 않습니다. 하지만 제가 자퇴를 해서 다른 대학교에 입학하려면 거의 삼수를 해야 합니다. 왜냐하면 제가 이과였는데 고3때 수학을 나형으로 바꿨었기 때문에 가형을 다시 공부해야 하고 영어도 부족하여 더 많은 공부를 해야 합니다. 그래서 고민이 많이 됩니다. 자퇴를 해야할까요 아님 버텨야 할까요? 제가 원하는 과는 생명공학 또는 수의대 였습니다.  1. 적성에 맞지 않지만 간호학과는 취업 잘 되니까 버티자2. 한번 사는 인생 하고싶은 공부, 일을 하자. 그러므로 재수, 삼수 하자무엇이 옳은 선택인지 조언 부탁드립니다ㅠㅠㅠ 편입 광고 하지마세요 편입 안하고 재수 할거니까 광고 하지마세요","안녕하세요.20대 후반인 제가 이제 막 20살이 된 분께 저의 경험을 조금이나마 알려드리고자 합니다.저 같은 경우는 학교는 마음에 들었는데, 학과가 마음에 들지 않았습니다. 경영학과에 입학하고, 수업을 들었는데 제가 생각한 것과는 많이 다른 내용들이었고, 원래 선생님이 꿈이었기에 사범대로 전과를 하려고 했어요. 하지만 1학년을 마치고 전과를 알아보니, 사범대는 전과가 불가능 하더라구요.그래서 자퇴를 하고, 새로 사범대를 준비해볼까 여러번 고민했습니다.결국 안했습니다. 사실 1년 동안 바친 대학교 등록금도 등록금이지만, 부모님께 말할 자신도 없었고, 제가 다시 입시를 해낼 자신도 없었습니다. 그리고 무엇보다 1년 뒤쳐지는 것도 싫었어요.근데 지금에 와서는 너무 후회가 됩니다.그 때 만약 반수를 해서 성공했다면, 내가 지금 아이들 앞에서 교육을 하는 교사가 되 있지 않았을까?이런 생각을 지금도해요.이건 제가 경험한 걸 그냥 말씀드린거고요.현실적으로 넘어가 볼게요.이제 수능이 약 6~7개월 정도 남았는데, 수학과 영어가 부족하시다면 하루 빨리 공부하셔야 하고, 간호학과는 어느 학교를 나오든 자격증만 있으면 취업이 정말 잘됩니다.. 우선 간호사가 부족합니다.대신, 어느 병원으로 가느냐에 따라 연봉이 다르겠지만요.재수를 하실거면 하루 빨리 공부 시작하셔야 합니다. 사실 삼수까지 가는건 본인을 합리화 시키는 거거든요. 짧고 굵게 해보는데까지 해보고 올해 승부를 본다는 마음가짐으로 가야합니다.",https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110408&docId=324026409&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=1&search_sort=3&spq=0
대학교 자퇴 후 재수,"안녕하세요. 이번년도에 지방전문대 간호학과로 입학을 한 신입생입니다. 원래 간호학과에 오고싶지 않았는데 제가 가고싶은 학과에 가기에는 성적이 되지 않아 고3 원서접수때 어쩔 수 없이 대학교를 낮추고 과를 보건 계열로 다 바꿔서 간호학과에 오게 되었습니다. 전공 수업 듣는건 괜찮지만 원치 않는 교양까지 시간표에 다 있어 어쩔 수 없이 듣고 있고 기숙사 생활을 하고 있는데 너무 자퇴가 하고 싶어요. 오직 취업목적으로 간 거라 간호사라는 직업을 잘 해낼 자신이 없고 심지어 학교가 그렇게 취업률이 높지 않습니다. 하지만 제가 자퇴를 해서 다른 대학교에 입학하려면 거의 삼수를 해야 합니다. 왜냐하면 제가 이과였는데 고3때 수학을 나형으로 바꿨었기 때문에 가형을 다시 공부해야 하고 영어도 부족하여 더 많은 공부를 해야 합니다. 그래서 고민이 많이 됩니다. 자퇴를 해야할까요 아님 버텨야 할까요? 제가 원하는 과는 생명공학 또는 수의대 였습니다.  1. 적성에 맞지 않지만 간호학과는 취업 잘 되니까 버티자2. 한번 사는 인생 하고싶은 공부, 일을 하자. 그러므로 재수, 삼수 하자무엇이 옳은 선택인지 조언 부탁드립니다ㅠㅠㅠ 편입 광고 하지마세요 편입 안하고 재수 할거니까 광고 하지마세요","안녕하세요지식인 교육분야 전문 멘토로 활동중인 (안암캠퍼스)고려대학교 학사편입 합격생입니다(지식인 상에서 학력 위조, 사칭 조심하세요)수기 답변 100% 약속드립니다[답변]- ﻿ㅇ반수 성공률이 높지 않은데..혹시 편입은 어떠세요?굳이 대학교 2학년까지 마치지 않더라도학교 다니면서 1년간 병행으로편입 가능합니다학점은행제로 저렴하게 학위 취득하면서 (온라인 과정)편입 시험 준비만 해주시면반수처럼 1년 늦어지는게 아니라오히려 1년 빠르게 21살에 3학년으로 입학 가능합니다편입이 더 쉽습니다제가 전략 설정하는거 도와드릴게요답변 도움 되셨다면 채택 부탁드립니다추가적으로 더 궁금하신 사항이 있으시면 ** 상담은 항상 무료 **https://open.kakao.com/o/sBe35T7

으로 연락주세요 ^^65498432134654"
항문외과를 가서 검사를 해봤는데치질이 살짝 보인다고 별로 신경안써도된다곤하던데1.좀 찢어졌다고하던데 변누고 닦을때마다 피가 조금씩 나오는데 가렵기도하고 좀 따갑기도한데바르는연고가 효과적인가요???먹는약이 효과적인가요??약만 처방 받았긴했는데...이럴때 어떻게 해야 좀 빨리 나아지나요??(반신욕이 좋다고하던데..)2.그리고 이게 이 이후로 그런지 모르겠는데 원래 좀 그 똥꾸멍이 좀 쪼여진다해야하나 제가 힘을 줘서 쪼으는게아니라 그 항문이 뭔가 쪼이듯이 그렇던데 원래이런건가요?3 치질이 좀 있다고하던데 치료할수있는방법이나 혹시 좀 조심해야하는거 있나요??(나이는 25살입니다ㅠㅠ1년전도 아니고 반년전에만 가서 검사했을때도 치질...그런이야기는 안하던데...)같은병원에 갔구요..,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",우선 1번은 제 경험상 좌욕이 최고더라고요좌욕만 잘해도 치질은 어느정도 관리할수 있어요그리고 아무래도 찢어진 상처면 먹는것보단직접 바르는게 낫겠죠?2번은 무슨말씀이신지 잘 모르겠네요....3번은 좌욕은 말할것도없이 중요하고요변비가 생기지않도록 주의해야죠단단드한 변이 나오면 항문안에 살들까지딸려나와요그리고 또 항문내부가 찢어지고 피나고..그리고 배변시에는 3분내로 해야한대요배변후엔 휴지보단 바로 물로 씻으시는게좋은데 좀 힘들죠..물티슈라도 이용하세요저는 치질수술을 했는데현재..위에 것들을 잘 지키지 못하고있어요 ㅠㅠ정말 귀찮아요...,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70104&docId=324025248&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=2&search_sort=3&spq=0
"청소년 임신 , 1, 병원가서 지울려고할때 보호자 꼭 필요하죠? 2, 남자친구 부모님도 되나요... 저희끼린 안되겠죠?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요? 변호사가 필요할 땐, 로톡입니다.현행법상 낙태는 원칙적으로 금지됩니다. 따라서 부녀가 약물이나 그 밖의 방법으로 낙태한 경우에는 1년 이하의 징역 또는 200만원 이하의 벌금에 처해집니다(「형법」 제269조제1항).모자보건법상 낙태가 허용되는 예외에 해당하더라도 임신한 날로부터 24주이내여야 하고, 본인과 배우자의 동의 등의 요건을 갖추어야 합니다.답답하신 마음에 시원한 답변은 못 드리지만 대신 변호사와 부담없이 상담하실 수 있는 저희 서비스를 소개해드립니다. 변호사와의 상담을 통해 정확한 해결방법을 찾아보시는 것이 더 실질적인 도움을 받으실 수 있을 것 같아서 입니다. 꼭 골치아픈 일이 잘 해결되었으면 좋겠습니다.# 로톡(www.lawtalk.co.kr)은 전국 1,248명 변호사와 함께하는 대한민국 넘버원 법률상담 플랫폼입니다. 변호사에게 상담을 예약하면 변호사가 전화를 걸어 15분간 상담해드리니 부담갖지 마시고 문의하세요. ※ 참고: 로톡에서 관련 변호사 및 유사사례 확인하기# 한정된 정보에 근거하여 드리는 답변으로 법적인 책임이 없음을 사전에 알려드립니다.",https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60208&docId=324019609&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=3&search_sort=3&spq=0
"청소년 임신 , 1, 병원가서 지울려고할때 보호자 꼭 필요하죠? 2, 남자친구 부모님도 되나요... 저희끼린 안되겠죠?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","기본적으로 우리나라에서는 특정한 상황을 제외하고는 낙태는 불법으로 규정하고 있습니다. 특정한 상황에 대해서는 보건모자법에 규정되어있습니다.제14조(인공임신중절수술의 허용한계) ① 의사는 다음 각 호의 어느 하나에 해당되는 경우에만 본인과 배우자(사실상의 혼인관계에 있는 사람을 포함한다. 이하 같다)의 동의를 받아 인공임신중절수술을 할 수 있다.1. 본인이나 배우자가 대통령령으로 정하는 우생학적(優生學的) 또는 유전학적 정신장애나 신체질환이 있는 경우2. 본인이나 배우자가 대통령령으로 정하는 전염성 질환이 있는 경우3. 강간 또는 준강간(準强姦)에 의하여 임신된 경우4. 법률상 혼인할 수 없는 혈족 또는 인척 간에 임신된 경우5. 임신의 지속이 보건의학적 이유로 모체의 건강을 심각하게 해치고 있거나 해칠 우려가 있는 경우② 제1항의 경우에 배우자의 사망ㆍ실종ㆍ행방불명, 그 밖에 부득이한 사유로 동의를 받을 수 없으면 본인의 동의만으로 그 수술을 할 수 있다.③ 제1항의 경우 본인이나 배우자가 심신장애로 의사표시를 할 수 없을 때에는 그 친권자나 후견인의 동의로, 친권자나 후견인이 없을 때에는 부양의무자의 동의로 각각 그 동의를 갈음할 수 있다.(출처 : 국가법령정보센터)"
친구와 놀다가 놀이터에서 머리로 넘어졌는데 잠시 기절할정도로 크게 넘어졌어요 그날은 아무러치 않게 여기고 넘어갔는데 다음날부터 목 근육이 아픈데 어느 병원을 가야하는거죠?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","신경외과가셔서 목,뇌사진을 찍어보세요,",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=324019228&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=4&search_sort=3&spq=0
미세먼지때문에 목이 좀 불편해졌는데그때문에 말하는 목소리도 이상해졌어요ㅠㅠ원래 안그랬는데 미세먼지없이 맑은날도목소리가 갈라지고 점점 이상해지네요병원에서 처방받은 약을 먹긴하는데 목소리가 예전처럼 돌아오지 않아요 어떡하죠?성대결절일까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요 현직트레이너가 직접 답변 드리도록 하겠습니다. 요즘같은 오락가락한 날씨에미세먼지까지 심해진 날에는외출을 삼가하는게 제일 좋은 방법이죠.그러나 사람이기에 삶을 살아야 하기에 어쩔 수없이 외출을 하는 경우가 많죠.그렇기에 물을 수시로 챙겨드시고 방역마스크를 꼭 착용을 하고 외출을 하셔야합니다.성대라고 하는 내몸의 조직은 굉장히 연약한 존재이기에아껴주고 관리를 해줘야합니다.병원에서 약을 처방 받으셨지만 목이 안좋아진 시간이 너무 오래되셨다면말하는 습관자체가 약간의 변화가 생겼을수 있습니다.그로인해 목의 불편함을 계속 갖고 말을 하는 상황이 생기게됩니다.일단은 한 1~2주는 수시로 마스크를 끼고 다니시고,물을 수시로 드시고,집에 가습기를 항상 틀어놓으시기 바랍니다.그리고 가급적이면 입으로 숨을 쉬지 마시고 코로 숨을 들이쉬는게 좋습니다.왜냐하면 코안에 라디에이터같은 기능을 해주는 곳이 있어서내몸에 맞는 온도와 습도로 어느정도 바꿔주는 역할을 하기때문이죠.그리고 코털이 있어 어느정도 먼지를 제거 해줍니다.그렇게 1~2주 정도 지내보시다가도발성적인 불편함이 지속된다면 카톡아이디 : kms9846로 카톡연락 한번 주시면 바로 답변 드릴 수는 없어도 어느정도 목소리를 편안하게 만드는 꿀TIP을 드리겠습니다!^^원하는 답변이 되셨으면 채택 부탁드립니다~^^",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70102&docId=324016989&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=5&search_sort=3&spq=0
미세먼지때문에 목이 좀 불편해졌는데그때문에 말하는 목소리도 이상해졌어요ㅠㅠ원래 안그랬는데 미세먼지없이 맑은날도목소리가 갈라지고 점점 이상해지네요병원에서 처방받은 약을 먹긴하는데 목소리가 예전처럼 돌아오지 않아요 어떡하죠?성대결절일까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",목소리가 예전과는 달라져서 고민하고 계신 것 같은데요. 그럴 땐 목을 전문적으로 관리해주는 이비인후과로 가셔서 성대에 문제가 생긴 건 아닌지 검사해보세요.목소리도 환경에 따라 변하기 때문에 많이 사용하거나 무리하게 사용하면 변하기 마련인데요.아무리 성대 결절에 걸렸다 하더라도 관리를 통해 예전처럼 아름다운 목소리로 말할 수 있으니 너무 걱정하실 필요는 없습니다.
"엔클렉스를 쳐서 미국,캐나다로 간호취","한국 간호대를 졸업하고 경력을 1~3년 쌓은 후엔클렉스를 쳐서 미국,캐나다로 간호취업을 하거나호주,뉴질랜드 등으로 간호취업을 하려고 하는데요.그 때 한국에서 어느 정도 크기의 병원에서 어떤 병동에서 경력을 쌓았는지도 보나요?간호해외취업할 때 한국대학교 학점은 안 보지만 경력을 보기 때문에 큰 병원에 취업하기위해 학점을 잘 따야하는 건가요?","자... 님 뭔가 혼용되어서 무슨질문인지 저도 헷갈릴정도인데요. 일단 저는 외국에 있고, 캐나다에 사는데캐나다에서 님처럼 캐나다 간호사가 되고자 하는 한국 간호대 생들이 많습니다만,그건 거의 어렵고....(캐나다의 의료 시스템상 외국인 간호사 채용자체가 많지 않아요.)보통 NCLEX를 봐서 미국 간호사 면허 취득후에 취업브로커를 통해서 미국 병원/요양원등에 취업한다고 보심 됩니다.한국의 취업과 해외 취업은 좀 다른데해외병원들은 경력위주로 보구요. (해외 병원뿐 아니라 해외 전체적으로 다...)님의 대학 학점을 절대로 접근권한이 없구요. 면허만 있으면 충분히 간호자격이 있다고 생각합니다.사실 면허라는게, 간호사 하라고 면허를 주는거잖아요? 너가 간호사 해도 될정도의 시험실력이 나왔다. 라는걸 면허가 증명하는것이죠. 그리고 님이 어떤 류의 간호사가 될지는 솔찍히 모르겠으나그리고 뭐가 되고 싶어하는지도 모르겠으나보통 해외 취업 브로커들은 님에게 입맛에 맞는 그런 취업자리보다는주로 요양원이나... 환자 병동 간호사(단순 반복업무)로 알선해주는게 일반적일것입니다.님이 한국에서 유명한 대학교를 졸업해서유명한 대학병원 간호사 출신이라고 엄청 좋은곳으로 취업시켜준다기보다는미국의 한적한 시골이나, 중소도시의 대형병원들로 취업알선이 될것입니다.한계가 있는것은 어쩔수 없는데,대도시는 누구나... 다 있고 싶어하구요. 그래서 솔찍히 미국내 배출 간호사로도 충분히 고용이 가능한 지역들이 있습니다.흔히 미국에서 대도시인 지역이죠.미국내 배출 간호사를 채용하면, 솔찍히 외국인 고용을 위한 스폰서를 안해줘도 되죠.솔찍히 사업하는 입장에서는 왜 외국인 고용을 위한 스폰서를 해야하나요?이런저런 사업적 내용들이 다 공개되는 행위를...그런데 외국인 간호사를 고용해야할 정도의 그런 곳이 어디일까요?인력이 부족한 시골/중소도시의 병원이겠죠.그런데 채용된다고 보시면 됩니다.그리고 솔찍히 한국에서 NCLEX 준비하시는 분중에는 이제막 한국간호대 졸업후에 이것만 준비하시는 분들도 있습니다. 굳이 한국 경력이 없어도 취업할수 있기도 합니다.한국에서의 경력이 취업에 유리하기야 하겠지만,그 병원이 어떤 병원인지는 솔찍히 미국에서 알지도 못할거구요.뭐 존스홉킨스 정도의 유명한 병원출신 아니면, 누가 어디서 뭘했는지 어떻게 알아요?그런거구요. 한국의 병원 사이즈에 너무 연연하지 말라는 얘기구요.간호사는 기본적으로 협회가 있어서, 최저임금을 협회에 의해서 조종되니깐어디든 협회에서 정한 최저임금 혹은 그이상을 받고 시작한다고 보면 됩니다.좋은데 취업하면, 같은 페이를 받고 일만 많을수도 있어요.",https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110603&docId=323981712&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=51&search_sort=3&spq=0
척추수술 했었고 현재는,척추수술을 그래도 좀 오래전에 했네요.  한 5년전..  그렇게 척추수술을 하고 통증은 많이 좋아졌지만  그래도 완벽하게 통증이 사라졌다고는 말을 못해서.  지금도 가끔 불편함이 있는데  척추수술까지는 아니더라도   지금 상태에서 뭐 어떻게 치료하는 방법은 없을까요?,"안녕하세요. 하이닥-네이버 지식iN 상담의 김상범 입니다.과거 척추수수을 하셨으나 아직까지도경미한 통증이 있어 고민이 있군요.수술을 했다해도 이후 본인의 관리나 행동, 생활습관 등에 따라통증이 어느정도 있는 경우도 있으므로평소 척추에 무리를 주는 자세나 행동 등을반복적으로 하는 것은 아닌지 확인하고이러한 요소를 제한하는 것이 좋겠습니다.또한 척추근력강화를 하는 것도 척추에 가해지는 자극이나부담을 줄여주어 통증완화에 도움이 될 수 있겠습니다.본인 스스로의 관리도 좋지만 통증이 심하다면병원에 가셔서 물리치료나 도수치료, 약물치료등을 병행하는 것도 크게 도움이 되겠습니다.감사합니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=323981623&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=52&search_sort=3&spq=0
"허리디스크 MRI 및 신경주사,시술 관련 문의드려요!","제가 한 일년정도넘기도 했지만 .. 작년12월부터인가 .. 조금만 앉아있어도발끝이 저려오고 허리가 아프고 너무 힘들어서 병원을 다니기 시작했는데 ..그렇게 치료하다가 중간에 잠시 괜찮다가 다시 또 .. 시작되는바람에이번엔 조금 큰병원가서 CT를 찍었는데 4,5번 신경이 많이 튀어나왔다 하시면서디스크가맞다고 근데 아직 수술을 권하지않는다고 젊어서 어쩌구어쩌구.. 더자세히 하시려면 MRI 찍고 신경주사나 시술이나 그러시던데 주말엔 아무래도 힘들어서 평일에 시간을 내라고하셨는데 ..MRI하고 뭐 신경주사를 만약 한다해도 하루정도는 시간을 내야한다하시더라구요..제가 직장인이라 ..사장님께 허리디스크가 심해져서 하루빠져야할것같다고 .. MRI찍고 신경주사나시술을해야한다 이렇게 말씀드리니깐... MRI찍고 주사나 시술하는데 뭐 하루냐고오전에 다끝내고 오후에 들어와라 하시더라구요.... 근데 그때 병원에서왜 하루가걸리는지..설명은 못들어서 ... 제가 묻고싶은건1) MRI 찍고 허리신경주사를 맞는다고했을때, 하루정도 시간을 비워야하는 이유?..시간소요?..   병원에서 하루정도 시간비워라고하시는이유를.. 좀알려주세요..제회사근무시간은 9시~18시입니다..2) 저는..그래도 잘한다하는 병원가서 하고싶은건데.. 만일 사장님이 절대안된다할경우..   9시에가서 11시이전에 끝날수도있나요? MRI이랑 주사..이런것들이..좀알려주세요 ..ㅠㅠ 일을 그만둘순없고 ..참 답답하네요 .....",1.MRI 촬영에 걸리는 시간은 30분 입니다  앞에 대기 환자가 많은 경우 대기 시간까지 해서 1~2시간 소요됩니다 (병원마다 다를수있음)그리구 신경 차단술 같은 경우도 15분 20분 종두 소요되구요 이것도 대기환자가 많으면 오래걸릴수있어요(병원 마다 다를수있습니다) 병원 시작이 9시 부터 일테니까접수+대기+진료실+MRI촬영+대기+진료실+시술실+시술+진료실 이렇게 순서대로 가시면 오전에 다 끝내기 어렵습니다 2.잘한다는 병원은 입소문이 나 있기 때문에 환자가 많아 대기시간이 그만큼 길어집니다9시~11시 전에 끝낼수는 없어보입니다 (MRI촬영+신경차단술)까지 받으시면 불가능합니다.제 생각으로는 당장은 바른자세 취하시고 직장생활하시구요 시간 비울수 있을때 병원에 전화를 걸어 MRI예약을 잡고 MRI촬영먼저 해서 보관하시고 시간날때마다 병원 방문 하셔서 신경 차단술 받으시면 될거같습니다한번에 몰아서 받으려니 시간에 허덕이시는거같은데 MRI촬영본 가지고 있으시면 어느병원을 가던 의사에게 보여주고 증상이야기 하시면신경주사나 차단술 받으실수있습니다. 제글이 도움이 되셧다면 채택 부탁드립니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=323981307&qb=7Ja064qQIOuzkeybkA==&enc=utf8&section=kin&rank=53&search_sort=3&spq=0
